CODIGO,POB18,HOMBRES,MUJERES
02001,757,363,394
02002,529,300,229
02003,173050,84613,88437
02004,693,357,336
02005,650,339,311
02006,655,356,299
02007,1199,639,560
02008,1405,724,681
02009,24537,12215,12322
02010,2275,1183,1092
02011,638,341,297
02012,2360,1205,1155
02014,409,208,201
02013,150,85,65
02015,1864,941,923
02016,610,326,284
02017,873,462,411
02018,1057,538,519
02019,2837,1447,1390
02020,508,279,229
02021,1275,669,606
02022,344,194,150
02023,588,311,277
02024,4522,2291,2231
02025,10003,5089,4914
02026,1182,601,581
02029,4182,2183,1999
02027,330,177,153
02028,128,64,64
02030,3624,1819,1805
02031,674,327,347
02032,297,168,129
02033,2489,1303,1186
02034,1816,912,904
02035,2448,1259,1189
02036,110,58,52
02037,30268,15124,15144
02038,349,181,168
02039,1184,610,574
02040,621,332,289
02041,360,195,165
02042,928,448,480
02043,1398,721,677
02044,1200,626,574
02045,4665,2387,2278
02046,1359,698,661
02047,113,62,51
02048,1537,799,738
02049,840,435,405
02050,96,53,43
02051,2042,1036,1006
02052,548,292,256
02053,3513,1793,1720
02054,518,271,247
02055,1222,676,546
02056,2028,1022,1006
02057,2352,1169,1183
02058,360,194,166
02060,1420,832,588
02059,331,181,150
02061,696,359,337
02062,446,247,199
02901,2786,1401,1385
02063,1635,853,782
02064,401,205,196
02065,489,258,231
02066,254,133,121
02067,1357,696,661
02068,363,200,163
02069,15515,7835,7680
02070,501,265,236
02071,1153,587,566
02072,1790,920,870
02073,6255,3198,3057
02074,7738,3955,3783
02075,1943,1004,939
02076,355,179,176
02077,57,34,23
02078,1115,585,530
02079,4112,2077,2035
02080,589,307,282
02081,25241,12463,12778
02082,95,58,37
02083,226,137,89
02084,340,174,166
02085,340,174,166
02086,2674,1371,1303
03002,4713,2344,2369
03003,551,294,257
03004,936,493,443
03005,12042,6172,5870
03006,1298,645,653
03007,229,115,114
03008,180,94,86
03009,58977,28806,30171
03010,407,198,209
03011,20053,9947,10106
03012,2838,1427,1411
